DirectoryInt;1.3533;1.2406;1.0786;1.074;1.1706;0.9979;0.99;0.9905;0.9886;0.9862;0.9871;1.2916;0.9937;1.0619;1.15;0.9859;0.9753;0.9855;0.9882;0.9918
DirectoryLong;1.4785;1.1143;1.1984;1.0455;1.3669;1.0875;1.1114;1.2072;1.0181;1.0053;0.9938;1.0019;0.9969;1.1728;1.1349;1.1787;1.0259;1.0212;1.0245;1.0092
DirectoryPol<2>;0.9665;0.8238;1.1502;0.8026;0.7398;0.6689;0.7027;0.6639;0.8525;0.6459;0.7429;0.6502;0.653;0.6541;0.7102;0.8472;0.6496;0.6484;0.649;0.8494
DirectoryPol<31>;1.0473;0.8292;0.658;0.6477;0.7782;1.0254;0.6507;0.6403;0.6345;0.8231;0.6303;0.7986;0.6759;0.6311;0.6322;0.6297;0.6352;0.638;0.6328;0.6328
DirectoryPol<37>;0.9943;0.6781;1.0804;0.6521;0.7329;0.9225;0.6505;0.8583;0.6393;0.7638;0.6319;0.7644;0.634;0.6357;0.6335;0.6317;0.7145;0.6326;0.6299;0.6292
DirectoryStl;0.9175;0.6161;0.612;0.5991;0.7668;0.8496;0.8089;0.7906;0.5855;0.5825;0.605;0.5839;0.5819;0.6049;0.5695;0.5684;0.7512;0.6383;0.5689;0.5764
DirectorySha256;2.4989;2.448;2.1312;2.1538;2.2026;1.9867;2.0731;2.4429;2.1433;1.9595;1.959;1.9621;1.9738;1.9568;1.9572;1.9542;1.9491;2.0221;1.954;1.948
DirectoryCity;0.742;0.8731;0.766;0.5833;0.5631;0.5716;0.5711;0.5639;0.5699;0.5646;0.5668;0.6352;0.663;0.7236;0.562;0.5636;0.5478;0.5631;0.5833;0.5535
