DirectoryInt;0.9017;0.7678;0.9607;0.8885;0.8309;0.7761;0.8467;0.7638;0.7548;0.7524;0.8128;0.7459;0.7494;0.7591;0.8135;0.7299;0.8934;0.7409;0.7446;0.7287
DirectoryLong;1.0082;0.8901;0.8103;0.9569;0.8555;0.9132;0.7072;0.7071;0.7899;0.8275;0.7098;0.7165;0.6989;0.6995;0.7238;0.7003;0.7278;0.8221;0.7116;0.7177
DirectoryPol<2>;0.552;0.516;0.4474;0.4361;0.4231;0.3771;0.4937;0.4838;0.4764;0.3726;0.5162;0.3749;0.4351;0.3771;0.3811;0.4809;0.3888;0.4414;0.3817;0.3748
DirectoryPol<31>;0.5496;0.5324;0.514;0.5515;0.4581;0.5663;0.5051;0.3839;0.3964;0.5289;0.466;0.3902;0.3886;0.376;0.3783;0.3968;0.3729;0.4124;0.4004;0.4698
DirectoryPol<37>;0.588;0.5195;0.4754;0.3829;0.4101;0.3611;0.4256;0.4222;0.358;0.364;0.4525;0.358;0.5543;0.3766;0.3723;0.4667;0.354;0.3788;0.4933;0.3596
DirectoryStl;0.5214;0.4978;0.3756;0.3121;0.3526;0.3924;0.3654;0.3157;0.3506;0.2931;0.3047;0.3404;0.2978;0.289;0.2955;0.2924;0.2935;0.29;0.3032;0.2892
DirectorySha256;2.4056;2.1272;2.0189;1.9896;2.1336;1.9386;1.952;1.9085;1.9621;1.95;1.9217;1.9756;1.8984;1.9129;2.0235;1.883;1.8929;1.9018;1.8677;1.9067
DirectoryCity;0.5753;0.4283;0.4003;0.4202;0.301;0.55;0.3462;0.298;0.2984;0.3921;0.298;0.3433;0.3012;0.294;0.3129;0.347;0.2962;0.2889;0.2982;0.29
